_date,total_clones,unique_clones
2026-05-25,31,12
2026-05-26,15,8
2026-05-27,18,11
2026-05-28,16,8
2026-05-29,19,7
2026-05-30,20,8
2026-05-31,17,6
2026-06-01,21,9
2026-06-02,23,10
2026-06-03,22,6
2026-06-04,107,35
2026-06-05,161,62
2026-06-06,241,70
2026-06-07,84,36
2026-06-08,262,98
2026-06-09,324,74
2026-06-10,199,52
2026-06-11,47,17
2026-06-12,112,36
2026-06-13,70,18
2026-06-14,271,54
2026-06-15,242,42
2026-06-16,106,33
2026-06-17,188,67
2026-06-18,27,9
2026-06-19,108,32
2026-06-20,59,21
2026-06-21,49,18
2026-06-22,138,28
2026-06-23,83,25
2026-06-24,55,16
2026-06-25,20,10
2026-06-26,19,8
2026-06-27,310,53
2026-06-28,99,35
2026-06-29,14,7
2026-06-30,76,23
2026-07-01,9,6
2026-07-02,31,10
2026-07-03,22,10
2026-07-04,45,20
2026-07-05,25,12
2026-07-06,22,7
2026-07-07,25,10
2026-07-08,27,11
